dataset,max_depth,n_estimators,accuracy,roc_auc,avg_nodes_per_tree,total_nodes,tn,fp,fn,tp,n_test_samples
ws4,2,1,0.7883745846120321,0.7717127916937684,7.0,7,13753,11609,45,29662,55069
ws4,2,5,0.7870489749223701,0.8605251699823888,6.6,33,13676,11686,41,29666,55069
ws4,2,10,0.7722130418202618,0.8685392091671382,6.4,64,12832,12530,14,29693,55069
ws4,2,25,0.7879206086909151,0.8705145885729947,6.68,167,13770,11592,87,29620,55069
ws4,2,50,0.7604459859449055,0.868843395122386,6.64,332,12418,12944,248,29459,55069
ws4,4,1,0.7688354609671503,0.799318466975679,23.0,23,13044,12318,412,29295,55069
ws4,4,5,0.8029018140877808,0.8812354238575074,21.8,109,14685,10677,177,29530,55069
ws4,4,10,0.8154497085474587,0.8872558768761063,21.6,216,15306,10056,107,29600,55069
ws4,4,25,0.8056438286513283,0.8862699318632751,24.44,611,14739,10623,80,29627,55069
ws4,4,50,0.8061885997566689,0.8876664477820545,24.2,1210,14776,10586,87,29620,55069
ws4,8,1,0.8182280411846956,0.8885037709475596,155.0,155,16823,8539,1471,28236,55069
ws4,8,5,0.8361691695872451,0.9151410377080105,188.2,941,17651,7711,1311,28396,55069
ws4,8,10,0.8365323503241389,0.916694569762833,179.4,1794,17650,7712,1290,28417,55069
ws4,8,25,0.8359694201819535,0.9152171703031515,188.52,4713,17601,7761,1272,28435,55069
ws4,8,50,0.8347346056765149,0.9147606839850936,183.76,9188,17523,7839,1262,28445,55069
ws4,16,1,0.8473914543572609,0.9220840249811801,3705.0,3705,18539,6823,1581,28126,55069
ws4,16,5,0.855998837821642,0.9359018079600325,3624.2,18121,18821,6541,1389,28318,55069
ws4,16,10,0.8571065390691678,0.9370226343072723,3725.8,37258,18862,6500,1369,28338,55069
ws4,16,25,0.8571791752165465,0.9372780319848986,3683.24,92081,18858,6504,1361,28346,55069
ws4,16,50,0.8578692186166446,0.9375864253708099,3646.04,182302,18868,6494,1333,28374,55069
ws4,32,1,0.8507508761735277,0.8869888238191818,37721.0,37721,20294,5068,3151,26556,55069
ws4,32,5,0.8745936915506002,0.9449760957813175,37880.6,189403,20484,4878,2028,27679,55069
ws4,32,10,0.881367012293668,0.9529339053761372,38789.2,387892,20792,4570,1963,27744,55069
ws4,32,25,0.884653797962556,0.957070238425433,38553.8,963845,20651,4711,1641,28066,55069
ws4,32,50,0.8850896148468286,0.9582290730023915,38494.96,1924748,20612,4750,1578,28129,55069
ws8,2,1,0.7621762975338684,0.7831107365324237,5.0,5,6132,6548,0,14853,27533
ws8,2,5,0.7646823811426289,0.8713073769630072,5.8,29,6206,6474,5,14848,27533
ws8,2,10,0.7621036574292667,0.876171968997543,6.0,60,6132,6548,2,14851,27533
ws8,2,25,0.7717647913412995,0.8770505315923601,6.2,155,6442,6238,46,14807,27533
ws8,2,50,0.7621762975338684,0.8764047709615218,6.12,306,6132,6548,0,14853,27533
ws8,4,1,0.7950459448661606,0.8526762695021091,17.0,17,8064,4616,1027,13826,27533
ws8,4,5,0.8083390840082809,0.8876957697528312,18.6,93,7679,5001,276,14577,27533
ws8,4,10,0.8168379762466857,0.89228981877287,19.2,192,8263,4417,626,14227,27533
ws8,4,25,0.8203247012675698,0.8970902064203964,19.8,495,8465,4215,732,14121,27533
ws8,4,50,0.8139686921149166,0.8980503094362609,19.16,958,7802,4878,244,14609,27533
ws8,8,1,0.8404096901899539,0.9060435936743706,171.0,171,9106,3574,820,14033,27533
ws8,8,5,0.8410271310790688,0.9175251454793252,163.4,817,9132,3548,829,14024,27533
ws8,8,10,0.8487269821668543,0.9237522250122707,168.4,1684,9229,3451,714,14139,27533
ws8,8,25,0.8450586568844659,0.9249681685990637,170.92,4273,9163,3517,749,14104,27533
ws8,8,50,0.8457487378781825,0.9253167290763893,170.0,8500,9184,3496,751,14102,27533
ws8,16,1,0.8531580285475611,0.9226916234407391,3079.0,3079,9407,3273,770,14083,27533
ws8,16,5,0.8647078051792395,0.9422180029908243,2905.0,14525,9604,3076,649,14204,27533
ws8,16,10,0.8702284531289725,0.9445873583197353,3095.6,30956,9904,2776,797,14056,27533
ws8,16,25,0.8696473322921585,0.9455616646712972,3142.68,78567,9907,2773,816,14037,27533
ws8,16,50,0.8713180546979987,0.9462285895997388,3149.24,157462,9886,2794,749,14104,27533
ws8,32,1,0.8586060363926924,0.8716967819860713,24589.0,24589,10525,2155,1738,13115,27533
ws8,32,5,0.8816692696037483,0.9451403884248601,22939.4,114697,10573,2107,1151,13702,27533
ws8,32,10,0.8875167980241891,0.9544826656650527,23567.4,235674,10745,1935,1162,13691,27533
ws8,32,25,0.8921657647187012,0.9595418540179566,23691.72,592293,10644,2036,933,13920,27533
ws8,32,50,0.89252896524171,0.9610856583795646,23690.24,1184512,10659,2021,938,13915,27533
ws16,2,1,0.767397936946099,0.7495610905180408,5.0,5,3187,3152,50,7377,13766
ws16,2,5,0.7888275461281418,0.8342571805761173,5.8,29,3495,2844,63,7364,13766
ws16,2,10,0.7775679209646956,0.8654772785235301,5.8,58,3331,3008,54,7373,13766
ws16,2,25,0.7888275461281418,0.8696234026546401,6.12,153,3568,2771,136,7291,13766
ws16,2,50,0.7895539735580416,0.8694997507739686,5.96,298,3540,2799,98,7329,13766
ws16,4,1,0.8118552956559639,0.8429821307686131,17.0,17,4112,2227,363,7064,13766
ws16,4,5,0.8111288682260642,0.8707983557177965,18.6,93,4153,2186,414,7013,13766
ws16,4,10,0.8153421473194827,0.8783233208551455,19.4,194,4099,2240,302,7125,13766
ws16,4,25,0.8165770739503123,0.8878144602840206,20.92,523,4070,2269,256,7171,13766
ws16,4,50,0.8198459973848613,0.8859035220511883,20.16,1008,4153,2186,294,7133,13766
ws16,8,1,0.8311782652912973,0.904075218916293,147.0,147,4662,1677,647,6780,13766
ws16,8,5,0.8481766671509516,0.9187487772079007,170.2,851,4533,1806,284,7143,13766
ws16,8,10,0.8481766671509516,0.9234633304044733,161.4,1614,4504,1835,255,7172,13766
ws16,8,25,0.8448351009734127,0.9233899336727616,166.12,4153,4478,1861,275,7152,13766
ws16,8,50,0.8446171727444428,0.9248999989443445,161.68,8084,4472,1867,272,7155,13766
ws16,16,1,0.861760860090077,0.9198066948227193,2667.0,2667,4898,1441,462,6965,13766
ws16,16,5,0.8690251343890746,0.9434112154326724,2243.8,11219,4905,1434,369,7058,13766
ws16,16,10,0.8721487723376434,0.9461769266291606,2304.4,23044,4928,1411,349,7078,13766
ws16,16,25,0.873674269940433,0.9471574436679819,2344.04,58601,4954,1385,354,7073,13766
ws16,16,50,0.873746912683423,0.9473976424642672,2311.48,115574,4940,1399,339,7088,13766
ws16,32,1,0.8547145140200494,0.8612979235468802,13075.0,13075,5219,1120,880,6547,13766
ws16,32,5,0.8815196861833503,0.9424706093933839,12083.0,60415,5315,1024,607,6820,13766
ws16,32,10,0.8867499636786285,0.9511177660596478,12513.2,125132,5378,961,598,6829,13766
ws16,32,25,0.8898736016271974,0.9572583887600259,12757.64,318941,5310,1029,487,6940,13766
ws16,32,50,0.8930698823187564,0.9593150159475136,12721.08,636054,5340,999,473,6954,13766
ws32,2,1,0.7657657657657657,0.7492602938665602,5.0,5,1601,1568,44,3669,6882
ws32,2,5,0.7900319674513223,0.8440654002631369,5.8,29,1773,1396,49,3664,6882
