feature,shap_value,feature_value
iat_min_us,0.12370994478451672,1874.9237060546875
mean_iat_us,0.1032653388403446,258004.3500469577
iat_max_us,0.09043567796591574,501830.8162689209
min,0.028148608061778244,10000.0
mean,0.01659651598246166,10000.0
ewma_min,0.014705742817170334,10000.0
ewma_range,0.012740162208439767,0.0
ewma_mean,0.012593319055984264,10000.0
max,-0.01206004458250125,10000.0
ewma_max,-0.009227309206959779,10000.0
slope,0.004242645330272601,-2.0900541351858557e-13
cusum_max,-0.0009383116334915156,0.0
cusum_range,-0.0009104407919172694,0.0
cusum_mean,-0.0004044972246797728,0.0
range,0.00033549377525547003,0.0
cusum_min,0.0,0.0
