dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws4,4,1,2,0.7930694055103148,0.7928472097246536,0.6048911141209234,0.8747455407739962,0.715210457892677,0.8809893249428992,162810,51926,11383,79496,7.0,7,4.0,4,random_forest_ws4_trees1_depth2.pkl,feature_list_ws4_trees1_depth2.txt
ws4,4,1,4,0.9718482286470742,0.9714706411661731,0.9853267803979018,0.9177257672289528,0.9503255983546316,0.9669999545811776,213494,1242,7477,83402,31.0,31,16.0,16,random_forest_ws4_trees1_depth4.pkl,feature_list_ws4_trees1_depth4.txt
ws4,4,1,8,0.9834160474211856,0.9830113050733766,0.984353626137584,0.9580981304811893,0.971048434764183,0.9863550600164644,213352,1384,3808,87071,339.0,339,170.0,170,random_forest_ws4_trees1_depth8.pkl,feature_list_ws4_trees1_depth8.txt
ws4,4,1,16,0.9868629741452449,0.9833254257808026,0.9795293196936665,0.9640731081988138,0.9717397573257026,0.9858917167026366,212905,1831,3265,87614,5999.0,5999,3000.0,3000,random_forest_ws4_trees1_depth16.pkl,feature_list_ws4_trees1_depth16.txt
ws4,4,1,32,0.9911134358623417,0.9785089082669371,0.9658941458616536,0.9616853178402051,0.9637851369085034,0.9736208857990761,211650,3086,3482,87397,25293.0,25293,12647.0,12647,random_forest_ws4_trees1_depth32.pkl,feature_list_ws4_trees1_depth32.txt
ws4,4,5,2,0.8651393425036356,0.864496179834105,0.7274909632736404,0.8703330802495626,0.7925271289866835,0.9373470533139026,185108,29628,11784,79095,7.0,35,4.0,20,random_forest_ws4_trees5_depth2.pkl,feature_list_ws4_trees5_depth2.txt
ws4,4,5,4,0.9726629822787579,0.9723181126580829,0.9865290846625188,0.9194643426974328,0.9518168356304818,0.9843329176763038,213595,1141,7319,83560,29.8,149,15.4,77,random_forest_ws4_trees5_depth4.pkl,feature_list_ws4_trees5_depth4.txt
ws4,4,5,8,0.9844173109203631,0.984048557826023,0.9903418550023946,0.9556773291959638,0.9727008517334259,0.9923830745454767,213889,847,4028,86851,329.4,1647,165.2,826,random_forest_ws4_trees5_depth8.pkl,feature_list_ws4_trees5_depth8.txt
ws4,4,5,16,0.9892132789416336,0.9858383914402107,0.9880787232842723,0.9640070863455804,0.9758944882591454,0.9942074987767414,213679,1057,3271,87608,6087.8,30439,3044.4,15222,random_forest_ws4_trees5_depth16.pkl,feature_list_ws4_trees5_depth16.txt
ws4,4,5,32,0.9962978492467385,0.9845099226150549,0.9845323134034535,0.9630387658314902,0.9736669373769288,0.9865440892162488,213361,1375,3359,87520,25567.8,127839,12784.4,63922,random_forest_ws4_trees5_depth32.pkl,feature_list_ws4_trees5_depth32.txt
