iter,rf_ns
0,1961.92
1,749.46
2,333.09
3,289.79
4,283.13
5,226.50
6,209.85
7,279.80
8,203.19
9,199.86
10,339.75
11,249.82
12,276.47
13,206.52
14,176.54
15,179.87
16,183.20
17,246.49
18,183.20
19,209.85
20,183.20
21,246.49
22,193.19
23,179.87
24,183.20
25,183.20
26,229.83
27,209.85
28,383.06
29,183.20
30,179.87
31,173.21
32,213.18
33,183.20
34,183.20
35,183.20
36,176.54
37,246.49
38,263.14
39,186.53
40,186.53
41,183.20
42,1215.79
43,546.27
44,186.53
45,519.62
46,219.84
47,393.05
48,203.19
49,199.86
50,179.87
51,226.50
52,189.86
53,186.53
54,203.19
55,233.16
56,219.84
57,356.41
58,449.68
59,179.87
60,276.47
61,246.49
62,186.53
63,179.87
64,176.54
65,349.75
66,206.52
67,176.54
68,183.20
69,366.40
70,183.20
71,363.07
72,173.21
73,183.20
74,209.85
75,186.53
76,186.53
77,173.21
78,169.88
79,193.19
80,183.20
81,169.88
82,186.53
83,179.87
84,196.52
85,183.20
86,189.86
87,169.88
88,183.20
89,179.87
90,179.87
91,176.54
92,179.87
93,183.20
94,203.19
95,163.22
96,186.53
97,216.51
98,173.21
99,189.86
100,179.87
101,179.87
102,176.54
103,189.86
104,206.52
105,169.88
106,203.19
107,189.86
108,179.87
109,193.19
110,183.20
111,173.21
112,189.86
113,179.87
114,183.20
115,183.20
116,169.88
117,169.88
118,179.87
119,189.86
120,186.53
121,223.17
122,173.21
123,179.87
124,179.87
125,183.20
126,203.19
127,196.52
128,179.87
129,186.53
130,179.87
131,169.88
132,176.54
133,183.20
134,203.19
135,233.16
136,166.55
137,183.20
138,239.83
139,179.87
140,229.83
141,173.21
142,166.55
143,186.53
144,186.53
145,183.20
146,173.21
147,173.21
148,179.87
149,186.53
150,179.87
151,363.07
152,173.21
153,393.05
154,183.20
155,369.73
156,196.52
157,826.07
158,736.13
159,832.73
160,259.81
161,556.26
162,283.13
163,476.32
164,256.48
165,356.41
166,309.78
167,329.76
168,189.86
169,169.88
170,146.56
171,133.24
172,129.91
173,133.24
174,129.91
175,129.91
176,133.24
177,136.57
178,129.91
179,133.24
180,133.24
181,136.57
182,136.57
183,139.90
184,133.24
185,136.57
186,133.24
187,129.91
188,136.57
189,136.57
190,139.90
191,136.57
192,126.58
193,133.24
194,133.24
195,133.24
196,126.58
197,133.24
198,133.24
199,133.24
200,136.57
201,133.24
202,133.24
203,133.24
204,133.24
205,136.57
206,133.24
207,136.57
208,129.91
209,283.13
210,403.04
211,239.83
212,193.19
213,219.84
214,199.86
215,199.86
216,196.52
217,183.20
218,213.18
219,196.52
220,183.20
221,223.17
222,206.52
223,189.86
224,189.86
225,166.55
226,183.20
227,189.86
228,169.88
229,196.52
230,169.88
231,186.53
232,183.20
233,169.88
234,183.20
235,166.55
236,183.20
237,183.20
238,169.88
239,186.53
240,169.88
241,183.20
242,199.86
243,263.14
244,193.19
245,166.55
246,176.54
247,169.88
248,189.86
249,196.52
250,219.84
251,203.19
252,173.21
253,183.20
254,199.86
255,183.20
256,179.87
257,189.86
258,216.51
259,183.20
260,166.55
261,173.21
262,176.54
263,179.87
264,196.52
265,166.55
266,176.54
267,193.19
268,169.88
269,186.53
270,169.88
271,173.21
272,169.88
273,186.53
274,189.86
275,179.87
276,206.52
277,183.20
278,179.87
279,193.19
280,163.22
281,213.18
282,186.53
283,169.88
284,186.53
285,169.88
286,183.20
287,356.41
288,183.20
289,369.73
290,166.55
291,436.35
292,249.82
293,363.07
294,199.86
295,346.42
296,173.21
297,339.75
298,169.88
299,389.72
300,183.20
301,186.53
302,186.53
303,183.20
304,196.52
305,179.87
306,186.53
307,199.86
308,176.54
309,186.53
310,186.53
311,176.54
312,176.54
313,186.53
314,179.87
315,179.87
316,173.21
317,173.21
318,189.86
319,186.53
320,186.53
321,169.88
322,169.88
323,179.87
324,183.20
325,179.87
326,173.21
327,176.54
328,183.20
329,193.19
330,183.20
331,176.54
332,169.88
333,186.53
334,189.86
335,183.20
336,173.21
337,173.21
338,203.19
339,183.20
340,176.54
341,176.54
342,183.20
343,203.19
344,179.87
345,346.42
346,479.65
347,396.38
348,186.53
349,186.53
350,326.43
351,243.16
352,306.45
353,183.20
354,183.20
355,229.83
356,226.50
357,229.83
358,213.18
359,176.54
360,269.81
361,209.85
362,329.76
363,206.52
364,179.87
365,196.52
366,196.52
367,229.83
368,199.86
369,179.87
370,196.52
371,183.20
372,246.49
373,206.52
374,229.83
375,193.19
376,186.53
377,236.50
378,243.16
379,183.20
380,179.87
381,189.86
382,1692.11
383,239.83
384,206.52
385,206.52
386,203.19
387,236.50
388,209.85
389,173.21
390,193.19
391,189.86
392,196.52
393,239.83
394,173.21
395,183.20
396,183.20
397,213.18
398,209.85
399,169.88
400,183.20
401,186.53
402,219.84
403,199.86
404,166.55
405,229.83
406,246.49
407,176.54
408,173.21
409,226.50
410,193.19
411,186.53
412,173.21
413,179.87
414,173.21
415,176.54
416,179.87
417,169.88
418,173.21
419,169.88
420,186.53
421,206.52
422,183.20
423,176.54
424,173.21
425,169.88
426,213.18
427,173.21
428,166.55
429,166.55
430,176.54
431,183.20
432,216.51
433,176.54
434,169.88
435,183.20
436,183.20
437,173.21
438,169.88
439,243.16
440,199.86
441,263.14
442,173.21
443,169.88
444,169.88
445,176.54
446,183.20
447,169.88
448,173.21
449,236.50
450,169.88
451,183.20
452,173.21
453,176.54
454,169.88
455,253.15
456,196.52
457,173.21
458,173.21
459,173.21
460,179.87
461,183.20
462,189.86
463,199.86
464,193.19
465,199.86
466,173.21
467,216.51
468,186.53
469,169.88
470,186.53
471,199.86
472,176.54
473,193.19
474,213.18
475,196.52
476,196.52
477,189.86
478,196.52
479,166.55
480,183.20
481,183.20
482,173.21
483,186.53
484,163.22
485,176.54
486,169.88
487,173.21
488,183.20
489,156.55
490,179.87
491,169.88
492,223.17
493,213.18
494,169.88
495,169.88
496,173.21
497,186.53
498,189.86
499,163.22
500,199.86
501,176.54
502,169.88
503,186.53
504,159.88
505,186.53
506,183.20
507,176.54
508,186.53
509,153.22
510,193.19
511,183.20
512,169.88
513,183.20
514,163.22
515,176.54
516,189.86
517,166.55
518,193.19
519,176.54
520,176.54
521,189.86
522,156.55
523,193.19
524,159.88
525,196.52
526,189.86
527,173.21
528,183.20
529,156.55
530,186.53
531,186.53
532,169.88
533,179.87
534,169.88
