iter,rf_ns
0,21364.57
1,7844.33
2,4829.84
3,6775.11
4,2894.58
5,3021.15
6,2278.35
7,5296.17
8,3763.95
9,2334.98
10,2994.50
11,2664.74
12,2371.62
13,2581.47
14,2351.63
15,3773.94
16,2441.57
17,2971.19
18,2258.37
19,3320.93
20,2458.22
21,5149.61
22,2048.52
23,3041.14
24,2045.19
25,2987.84
26,2957.86
27,2504.86
28,3823.90
29,2021.87
30,2344.97
31,2344.97
32,2458.22
33,2441.57
34,1961.92
35,3524.12
36,2591.46
37,2275.02
38,2464.89
39,1875.31
40,2847.94
41,2001.89
42,2984.51
43,2764.67
44,2055.18
45,4806.53
46,2344.97
47,2095.15
48,1971.91
49,1835.34
50,2458.22
51,3417.53
52,1818.69
53,2255.04
54,1885.31
55,2471.55
56,2191.75
57,2461.56
58,3684.01
59,1845.33
60,2411.59
61,2048.52
62,2151.78
63,2015.21
64,2125.13
65,2151.78
66,2658.08
67,2115.14
68,3767.28
69,2008.55
70,3227.67
71,1895.30
72,23796.15
73,2434.91
74,2424.92
75,2255.04
76,1835.34
77,2748.02
78,2178.43
79,1712.10
80,2628.10
81,1835.34
82,1782.05
83,2758.01
84,2794.65
85,2881.25
86,182391.60
87,2544.83
88,2305.00
89,1965.25
90,2954.53
91,1812.02
92,2025.20
93,2278.35
94,2035.20
95,2378.28
96,1582.19
97,1672.13
98,1858.66
99,1762.06
100,3127.74
101,2344.97
102,1648.81
103,2338.31
104,1895.30
105,2611.45
106,2278.35
107,1798.70
108,1868.65
109,1925.28
110,2531.50
111,2238.38
112,1845.33
113,2075.17
114,1842.00
115,2008.55
116,1738.74
117,2035.20
118,2708.04
119,2318.33
120,2488.20
121,2088.49
122,1871.98
123,2534.84
124,1985.23
125,2714.71
126,2198.41
127,2145.12
128,1881.97
129,1782.05
130,2085.16
131,1835.34
132,1911.95
133,2454.89
134,1948.59
135,2787.99
136,1835.34
137,1695.44
138,2754.68
139,2245.05
140,2628.10
141,1668.79
142,1772.05
143,1818.69
144,1685.45
145,2334.98
146,1648.81
147,1798.70
148,1818.69
149,1832.01
150,2388.28
151,1648.81
152,1768.72
153,2258.37
154,1822.02
155,2688.06
156,2281.69
157,5039.69
158,8304.00
159,4376.84
160,3800.59
161,3227.67
162,2934.55
163,3677.34
164,3320.93
165,2837.95
166,3417.53
167,2631.43
168,2857.94
169,3590.74
170,2258.37
171,1898.63
172,1622.16
173,1472.27
174,1582.19
175,1735.41
176,1398.99
177,1565.54
178,1432.30
179,1418.98
180,1432.30
181,1802.03
182,1528.90
183,2045.19
184,1921.95
185,1385.67
186,1578.86
187,1575.53
188,1435.63
189,1488.92
190,1415.64
191,1472.27
192,1395.66
193,1435.63
194,1455.62
195,1395.66
196,1468.94
197,1408.98
198,1375.67
199,1425.64
200,1415.64
201,1398.99
202,1335.70
203,1372.34
204,1332.37
205,1475.60
206,1385.67
207,1329.04
208,1335.70
209,3144.40
210,3753.96
211,2817.96
212,2051.85
213,3520.79
214,1905.29
215,2691.39
216,2028.53
217,1745.41
218,2458.22
219,1918.61
220,2321.66
221,2301.67
222,1848.66
223,2181.76
224,1742.08
225,2371.62
226,1878.64
227,1798.70
228,2248.38
229,1688.78
230,2138.46
231,1665.46
232,1795.37
233,1858.66
234,1735.41
235,2558.15
236,2285.02
237,1662.13
238,2121.80
239,1745.41
240,2431.58
241,1815.36
242,2091.82
243,2278.35
244,1921.95
245,2091.82
246,2085.16
247,1828.68
248,2228.39
249,1758.73
250,2295.01
251,1865.32
252,1725.42
253,1795.37
254,1778.72
255,2255.04
256,1725.42
257,1798.70
258,2514.85
259,1908.62
260,2095.15
261,1628.82
262,2225.06
263,2334.98
264,2168.43
265,2268.36
266,1745.41
267,1931.94
268,1878.64
269,1838.67
270,2061.84
271,1602.18
272,1772.05
273,1802.03
274,2251.71
275,2181.76
276,1968.58
277,1958.59
278,2081.83
279,2238.38
280,2038.53
281,1885.31
282,2108.48
283,2298.34
284,1928.61
285,2644.76
286,1812.02
287,1895.30
288,2464.89
289,1975.24
290,2807.97
291,2228.39
292,2351.63
293,2158.44
294,2155.11
295,2138.46
296,1748.74
297,1772.05
298,1871.98
299,1868.65
300,2241.71
301,1798.70
302,1625.49
303,1945.26
304,2131.79
305,2458.22
306,2391.61
307,1885.31
308,1732.08
309,1742.08
310,1975.24
311,1618.83
312,2008.55
313,2358.30
314,1778.72
315,1991.89
316,1678.79
317,2048.52
318,2008.55
319,1775.38
320,2088.49
321,1782.05
322,1588.85
323,1842.00
324,1712.10
325,2837.95
326,1635.49
327,1718.76
328,2035.20
329,2211.74
330,2038.53
331,1595.51
332,1718.76
333,2288.35
334,1838.67
335,1938.60
336,2175.10
337,2364.96
338,2061.84
339,2081.83
340,1845.33
341,1602.18
342,2181.76
343,2201.74
344,2241.71
345,4120.36
346,3940.49
347,4060.40
348,1955.25
349,2318.33
350,11371.79
351,3124.41
352,4729.92
353,4147.00
354,3360.91
355,2751.35
356,2118.47
357,2817.96
358,2228.39
359,2554.82
360,3164.38
361,2188.42
362,3207.68
363,1985.23
364,2564.81
365,2324.99
366,2751.35
367,2628.10
368,1981.90
369,2518.18
370,2151.78
371,1958.59
372,2877.92
373,1852.00
374,4150.34
375,2344.97
376,2514.85
377,2937.88
378,2078.50
379,2684.73
380,3690.67
381,2494.86
382,2787.99
383,1832.01
384,2314.99
385,2608.12
386,2055.18
387,2544.83
388,1788.71
389,2588.13
390,2048.52
391,2248.38
392,2454.89
393,2594.79
394,2631.43
395,2281.69
396,2551.49
397,2618.11
398,1981.90
399,2384.94
400,2518.18
401,1955.25
402,2275.02
403,1998.56
404,2894.58
405,2421.58
406,2738.02
407,2318.33
408,1675.46
409,2718.04
410,2285.02
411,1978.57
412,2281.69
413,1951.92
414,2251.71
415,1901.96
416,1895.30
417,1951.92
418,1722.09
419,2441.57
420,1935.27
421,1955.25
422,2751.35
423,1695.44
424,2181.76
425,1818.69
426,2391.61
427,1931.94
428,1698.77
429,2388.28
430,1995.23
431,1755.40
432,2188.42
433,2141.79
434,2205.07
435,1742.08
436,1925.28
437,2461.56
438,1672.13
439,2275.02
440,2298.34
441,2391.61
442,1931.94
443,1941.93
444,2041.86
445,1778.72
446,2025.20
447,1845.33
448,1615.50
449,2584.80
450,1698.77
451,1738.74
452,1718.76
453,1662.13
454,1975.24
455,2318.33
456,2231.72
457,1792.04
458,1881.97
459,2444.90
460,2001.89
461,1712.10
462,2151.78
463,1618.83
464,2058.51
465,1672.13
466,1852.00
467,3037.81
468,1702.10
469,2338.31
470,1908.62
471,1838.67
472,1742.08
473,2115.14
474,3007.83
475,2138.46
476,1842.00
477,3280.96
478,1958.59
479,1988.56
480,2088.49
481,1672.13
482,1762.06
483,1665.46
484,2251.71
485,1595.51
486,1735.41
487,2091.82
488,1752.07
489,2461.56
490,1628.82
491,1568.87
492,2724.70
493,1818.69
494,1915.28
495,1725.42
496,2271.69
497,2018.54
498,1775.38
499,2171.76
500,2198.41
501,1728.75
502,2081.83
503,1645.48
504,2408.26
505,1668.79
506,1592.18
507,1705.43
508,2141.79
509,2511.52
510,1855.33
511,1868.65
512,2431.58
513,1645.48
514,2078.50
515,1568.87
516,1762.06
517,2361.63
518,2051.85
519,2098.48
520,1658.80
521,1758.73
522,1705.43
523,1845.33
524,2235.05
525,2175.10
526,2364.96
527,1868.65
528,1861.99
529,1961.92
530,1648.81
531,2198.41
532,1951.92
533,1925.28
534,1961.92
535,1565.54
536,1695.44
537,2668.07
538,1975.24
539,2018.54
540,3051.13
541,2438.24
542,2354.97
543,1725.42
544,2031.87
545,2121.80
546,2168.43
547,1838.67
548,1808.69
549,2271.69
550,1612.17
551,1705.43
552,2491.53
553,1722.09
554,1961.92
555,1718.76
556,2141.79
557,1735.41
558,1695.44
559,1985.23
560,2205.07
561,1858.66
562,2058.51
563,1722.09
564,2291.68
565,1888.64
566,2135.12
567,2268.36
568,2208.40
569,1908.62
570,1905.29
571,1825.35
572,1995.23
573,2271.69
574,1955.25
575,1785.38
576,1715.43
577,2361.63
578,1722.09
579,2165.10
580,1991.89
581,1985.23
582,1978.57
583,1695.44
584,6045.63
585,3813.91
586,3064.45
587,3161.05
588,3330.93
589,2997.83
590,2847.94
591,2691.39
592,2584.80
593,2624.77
594,2924.55
595,3164.38
596,2185.09
597,1891.97
598,1618.83
599,1465.61
600,1652.14
601,1682.12
602,1485.59
603,1462.28
604,1508.91
605,1455.62
606,1528.90
607,1418.98
608,1382.33
609,1502.25
610,1458.95
611,1395.66
612,1475.60
613,1448.95
614,1442.29
615,1482.26
616,2065.18
617,1455.62
618,1468.94
619,1435.63
620,1468.94
621,1438.96
622,1445.62
623,1428.97
624,1408.98
625,1455.62
626,1392.33
627,1369.01
628,1275.75
629,2867.93
630,2574.81
631,2068.51
632,2498.20
633,2281.69
634,1958.59
635,2141.79
636,2464.89
637,2354.97
638,2295.01
639,1958.59
640,2624.77
641,1885.31
642,2644.76
643,1901.96
644,1775.38
645,2551.49
646,2008.55
647,2108.48
648,2105.15
649,1792.04
650,2071.84
651,2061.84
652,2281.69
653,1842.00
654,1752.07
655,2305.00
656,1682.12
657,1998.56
658,1652.14
659,1871.98
660,2078.50
661,1888.64
662,2045.19
663,1638.82
664,1682.12
665,1985.23
666,1988.56
667,2418.25
668,2068.51
669,2424.92
670,1948.59
671,1935.27
672,2574.81
673,2208.40
674,2195.08
675,1881.97
676,1848.66
677,2401.60
678,1718.76
679,1772.05
680,2118.47
681,2075.17
682,2308.33
683,1625.49
684,1898.63
685,3913.84
686,1935.27
687,2618.11
688,3477.49
689,2857.94
690,2784.66
691,4889.80
692,2571.48
693,2817.96
694,2461.56
695,4503.41
696,2378.28
697,2088.49
698,2181.76
699,1465.61
700,1452.28
701,1395.66
702,1289.07
703,1299.06
704,1398.99
705,1269.08
706,1302.39
707,1265.75
708,1289.07
709,1252.43
710,1289.07
711,1885.31
712,1205.80
713,1165.82
714,1169.16
715,1209.13
716,1169.16
717,1249.10
718,1189.14
719,1195.80
720,1199.13
721,1195.80
722,1165.82
723,1149.17
724,1195.80
725,1239.11
726,2501.53
727,2324.99
728,3360.91
729,1355.69
730,1222.45
731,3247.65
732,2165.10
733,3877.20
734,2151.78
735,2318.33
736,2501.53
737,2148.45
738,2621.44
739,2015.21
740,1835.34
741,2424.92
742,1938.60
743,2265.03
744,2148.45
745,2431.58
746,1955.25
747,1835.34
748,2185.09
749,1672.13
750,1765.39
751,2078.50
752,1845.33
753,2684.73
754,2011.88
755,1722.09
756,2225.06
757,1718.76
758,2245.05
759,2391.61
760,2201.74
761,2041.86
762,2001.89
763,2098.48
764,1708.77
765,2025.20
766,1915.28
767,1768.72
768,2165.10
769,2161.77
770,2181.76
771,1951.92
772,1755.40
773,2584.80
774,1698.77
775,2438.24
776,1948.59
777,1805.36
778,2618.11
779,1832.01
780,1685.45
781,1895.30
782,1665.46
783,2125.13
784,2068.51
785,1858.66
786,1795.37
787,1768.72
788,2205.07
789,2201.74
790,1655.47
791,1785.38
792,1765.39
793,2318.33
794,1575.53
795,2191.75
796,1918.61
797,1898.63
798,2041.86
799,1675.46
800,2018.54
801,2987.84
802,1855.33
803,2324.99
804,1735.41
805,2005.22
806,2058.51
807,1762.06
808,2418.25
809,2095.15
810,1768.72
811,1955.25
812,1758.73
813,2148.45
814,1682.12
815,1732.08
816,2038.53
817,1688.78
818,2078.50
819,1718.76
820,2374.95
821,2374.95
822,1782.05
823,2058.51
824,1655.47
825,1632.15
826,1815.36
