iter,rf_ns
0,187904.29
1,8200.74
2,147057.12
3,115739.74
4,41206.91
5,295120.18
6,61861.99
7,1941.93
8,134909.23
9,6448.68
10,81018.15
11,131998.00
12,34291.90
13,58174.65
14,59590.29
15,5659.25
16,106649.64
17,68254.04
18,100370.84
19,2914.56
20,61518.90
21,174757.12
22,124573.36
23,100164.32
24,96670.18
25,139379.33
26,89941.71
27,36853.38
28,92636.43
29,98322.32
30,5705.88
31,132784.10
32,129010.16
33,156243.82
34,5612.61
35,53051.68
36,3007.83
37,133406.98
38,1528.90
39,599.57
40,73280.41
41,103918.28
42,114190.86
43,124087.05
44,23333.15
45,3703.99
46,156270.47
47,2441.57
48,61868.65
49,75328.93
50,36317.10
51,81864.21
52,99118.41
53,69779.60
54,2484.87
55,1558.87
56,83026.70
57,87300.28
58,85921.28
59,42279.46
60,952.65
61,108501.64
62,3134.40
63,51822.57
64,10965.41
65,62401.60
66,98805.30
67,79705.77
68,132504.30
69,64949.76
70,116649.08
71,72740.80
72,106586.35
73,131141.95
74,52085.71
75,118897.46
76,99061.79
77,6688.50
78,1175.82
79,2235.05
80,7178.15
81,896.02
82,1692.11
83,61039.25
84,44641.09
85,2474.88
86,1498.92
87,689.50
88,61418.97
89,58187.97
90,130609.00
91,8540.50
92,1522.23
93,105224.00
94,84252.48
95,135352.24
96,155357.79
97,2225.06
98,60659.52
99,2324.99
100,116219.39
101,70119.36
102,110453.56
103,3260.98
104,108048.63
105,109893.96
106,111622.71
107,103994.89
108,88076.39
109,101146.95
110,135152.39
111,106626.32
112,120599.56
113,2458.22
114,92146.78
115,5172.93
116,2977.85
117,101806.47
118,21980.79
119,1562.21
120,108158.55
121,1089.21
122,2561.48
123,96007.33
124,114853.71
125,3787.26
126,3201.02
127,148589.35
128,70472.43
129,2981.18
130,35707.54
131,65389.44
132,132750.79
133,2904.57
134,10698.94
135,83842.78
136,80092.15
137,1998.56
138,90544.60
139,107492.36
140,45520.46
141,2161.77
142,4426.80
143,28556.04
144,119720.20
145,109527.56
146,46343.20
147,4123.69
148,44171.43
149,39794.59
150,11681.56
151,80904.90
152,68757.01
153,219621.38
154,3270.97
155,776.11
156,73357.02
157,87533.45
158,85684.78
159,15951.81
160,93605.73
161,94598.34
162,139799.03
163,99085.10
164,17200.91
165,106179.98
166,51692.67
167,3147.73
168,1588.85
169,8720.37
170,736.13
171,90184.86
172,104967.52
173,41103.65
174,949.31
175,64766.56
176,83786.15
177,57458.50
178,2794.65
179,99271.63
180,117854.88
181,40337.53
182,122651.42
183,137957.03
184,59626.93
185,84615.55
186,97036.58
187,2524.84
188,122644.75
189,113777.82
190,78463.33
191,96983.29
192,85568.20
193,146367.62
194,4586.69
195,1009.27
196,11701.55
197,71871.42
198,142457.11
199,153585.74
200,99374.89
201,157509.57
202,2168.43
203,113364.79
204,23263.20
205,4010.44
206,67551.21
207,1978.57
208,10628.99
209,97089.88
210,124676.62
211,98961.86
212,71238.55
213,121405.65
214,66305.44
215,128780.32
216,102179.53
217,90091.60
218,2045.19
219,137357.46
220,130402.48
221,59783.49
222,99518.12
223,95667.57
224,3031.14
225,1765.39
226,81601.06
227,1438.96
228,113404.76
229,91547.21
230,40950.42
231,102689.17
232,136005.10
233,111362.90
234,1835.34
235,91793.70
236,53154.94
237,1242.44
238,47389.11
239,78306.78
240,116149.44
241,114647.20
242,2987.84
243,21597.73
244,105027.48
245,110440.23
246,122854.60
247,92110.14
248,110700.05
249,109550.88
250,5909.07
251,97482.93
252,1785.38
253,75365.57
254,69156.72
255,111542.77
256,101823.13
257,8677.07
258,124813.19
259,57271.97
260,3437.52
261,113108.31
262,136045.08
263,60416.36
264,129639.70
265,2045.19
266,132590.90
267,60902.68
268,95737.52
269,17081.00
270,130385.83
271,12620.88
272,82550.38
273,81284.63
274,33392.55
275,1372.34
276,902.68
277,719.48
278,100907.12
279,112172.32
280,5942.37
281,59090.66
282,8383.94
283,69706.32
284,1465.61
285,99664.68
286,1878.64
287,121702.10
288,3294.29
289,52185.64
290,99914.50
291,126998.28
292,2777.99
293,86307.66
294,66025.65
295,59147.28
296,1905.29
297,83103.31
298,253676.78
299,84865.37
300,83093.32
301,3540.78
302,1475.60
303,8140.79
304,123820.57
305,130695.61
306,52468.77
307,1988.56
308,1598.85
309,46829.51
310,62088.49
311,79409.31
312,2171.76
313,2508.19
314,60043.30
315,125909.06
316,113241.55
317,130542.38
318,89328.82
319,43265.42
320,19932.27
321,1179.15
322,97126.52
323,62768.00
324,89938.38
325,77190.92
326,113025.03
327,2874.59
328,110043.85
329,2275.02
330,40857.16
331,122454.89
332,10702.27
333,16391.49
334,80648.42
335,117232.00
336,8956.86
337,109760.73
338,79339.36
339,111366.23
340,75102.42
341,84235.83
342,89688.56
343,109993.89
344,58517.74
345,836.06
346,128287.34
347,118138.01
348,14203.08
349,71425.08
350,103615.16
351,29165.60
352,65792.48
353,77777.16
354,59200.58
355,62761.34
356,109963.91
357,4196.97
358,1865.32
359,124170.32
360,5236.22
361,86943.87
362,2121.80
363,1822.02
364,3690.67
365,69736.30
366,97699.44
367,109447.62
368,135199.02
369,110423.58
370,137124.30
371,67897.63
372,119083.99
373,4413.48
374,599.57
375,116302.67
376,42389.38
377,84212.51
378,2258.37
379,7164.83
380,121072.56
381,99478.15
382,98455.56
383,48131.90
384,66795.09
385,3077.78
386,816.08
387,61132.51
388,1728.75
389,132914.00
390,59660.24
391,75398.88
392,80092.15
393,9879.53
394,79442.62
395,2068.51
396,4849.83
397,592.91
398,134736.02
399,117931.49
400,5645.92
401,140755.01
402,4883.14
403,746.13
404,131505.02
405,119047.35
406,3604.06
407,91330.70
408,111666.02
409,89145.61
410,99185.03
411,70908.79
412,2038.53
413,1918.61
414,1465.61
415,127181.48
416,89069.00
417,102119.58
418,32832.95
419,1738.74
420,120965.97
421,111679.34
422,2907.90
423,48768.11
424,123937.15
425,1985.23
426,576.25
427,122701.38
428,128377.28
429,99931.16
430,128593.79
431,118834.17
432,113964.36
433,66048.96
434,100454.11
435,58031.42
436,132694.16
437,54367.40
438,56502.52
439,108471.66
440,3650.70
441,105856.88
442,125276.19
443,87366.90
444,2348.30
445,2171.76
446,57471.82
447,1119.19
448,16937.77
449,822.74
450,260551.82
451,71072.00
452,17947.04
453,6148.89
454,101906.40
455,36053.96
456,85331.70
457,18506.63
458,789.43
459,104860.93
460,91890.30
461,80125.46
462,3647.37
463,89019.04
464,109407.65
465,2388.28
466,60722.81
467,111942.48
468,88735.91
469,60056.62
470,95634.26
471,59283.85
472,1452.28
473,57578.41
474,124140.34
475,121042.58
476,83746.18
477,1455.62
478,89705.21
479,28086.38
480,3420.86
481,812.75
482,98362.29
483,109027.92
484,99601.40
485,14802.64
486,99185.03
487,4140.34
488,78793.09
489,148089.71
490,4403.49
491,85011.93
492,34578.36
493,92013.54
494,88442.79
495,15652.03
496,1239.11
