iter,rf_ns
0,1975.24
1,79.94
2,1852.00
3,1059.23
4,239.83
5,1462.28
6,549.60
7,49.96
8,1785.38
9,59.96
10,719.48
11,836.06
12,203.19
13,439.68
14,443.01
15,69.95
16,659.52
17,426.36
18,1269.08
19,36.64
20,226.50
21,1638.82
22,1322.38
23,356.41
24,569.59
25,1345.69
26,726.14
27,159.88
28,822.74
29,626.21
30,46.63
31,409.70
32,1135.85
33,602.90
34,53.29
35,209.85
36,46.63
37,766.11
38,46.63
39,66.62
40,752.79
41,456.34
42,339.75
43,509.63
44,93.27
45,56.63
46,669.52
47,46.63
48,393.05
49,672.85
50,136.57
51,542.94
52,453.01
53,186.53
54,46.63
55,56.63
56,409.70
57,186.53
58,363.07
59,289.79
60,46.63
61,842.72
62,46.63
63,363.07
64,69.95
65,499.64
66,619.55
67,559.60
68,496.31
69,622.88
70,546.27
71,273.14
72,1415.64
73,536.28
74,189.86
75,286.46
76,606.23
77,46.63
78,46.63
79,49.96
80,83.27
81,49.96
82,46.63
83,223.17
84,453.01
85,46.63
86,46.63
87,46.63
88,296.45
89,519.62
90,662.85
91,63.29
92,39.97
93,606.23
94,479.65
95,689.50
96,636.21
97,46.63
98,276.47
99,43.30
100,762.78
101,429.69
102,752.79
103,46.63
104,636.21
105,809.42
106,323.10
107,316.44
108,383.06
109,266.47
110,879.36
111,349.75
112,376.39
113,46.63
114,449.68
115,46.63
116,46.63
117,749.46
118,93.27
119,53.29
120,246.49
121,46.63
122,46.63
123,423.03
124,985.95
125,46.63
126,46.63
127,866.04
128,296.45
129,46.63
130,93.27
131,359.74
132,602.90
133,43.30
134,66.62
135,289.79
136,189.86
137,46.63
138,276.47
139,263.14
140,289.79
141,46.63
142,46.63
143,313.11
144,409.70
145,329.76
146,532.95
147,49.96
148,179.87
149,103.26
150,79.94
151,436.35
152,339.75
153,189.86
154,59.96
155,53.29
156,203.19
157,249.82
158,126.58
159,89.94
160,266.47
161,629.55
162,293.12
163,183.20
164,66.62
165,799.42
166,243.16
167,43.30
168,46.63
169,76.61
170,46.63
171,536.28
172,293.12
173,139.90
174,46.63
175,309.78
176,279.80
177,246.49
178,46.63
179,153.22
180,443.01
181,206.52
182,426.36
183,802.75
184,156.55
185,389.72
186,426.36
187,46.63
188,353.08
189,253.15
190,316.44
191,502.97
192,256.48
193,686.17
194,46.63
195,46.63
196,66.62
197,303.11
198,636.21
199,223.17
200,482.98
201,586.24
202,59.96
203,419.70
204,66.62
205,46.63
206,159.88
207,49.96
208,63.29
209,476.32
210,356.41
211,443.01
212,186.53
213,366.40
214,259.81
215,313.11
216,346.42
217,586.24
218,46.63
219,303.11
220,689.50
221,243.16
222,519.62
223,459.67
224,46.63
225,46.63
226,443.01
227,46.63
228,569.59
229,349.75
230,293.12
231,492.98
232,383.06
233,373.06
234,46.63
235,263.14
236,323.10
237,59.96
238,279.80
239,769.44
240,249.82
241,466.33
242,46.63
243,76.61
244,376.39
245,309.78
246,443.01
247,406.37
248,812.75
249,542.94
250,46.63
251,309.78
252,46.63
253,273.14
254,423.03
255,406.37
256,459.67
257,66.62
258,559.60
259,116.58
260,43.30
261,599.57
262,339.75
263,209.85
264,346.42
265,46.63
266,539.61
267,179.87
268,423.03
269,79.94
270,552.93
271,66.62
272,253.15
273,326.43
274,136.57
275,63.29
276,46.63
277,46.63
278,443.01
279,542.94
280,46.63
