iter,rf_ns
0,13760.06
1,179.87
2,12774.11
3,8387.28
4,3723.98
5,14093.15
6,4250.26
7,156.55
8,10239.27
9,206.52
10,4963.08
11,9396.55
12,1315.72
13,3231.00
14,4286.90
15,196.52
16,5829.12
17,3833.90
18,7661.13
19,153.22
20,4683.28
21,13620.16
22,11108.64
23,5712.54
24,7231.44
25,7118.19
26,9906.18
27,2338.31
28,7771.05
29,8986.84
30,189.86
31,8836.95
32,11768.17
33,6735.14
34,139.90
35,3514.13
36,76.61
37,7880.97
38,109.92
39,103.26
40,4743.24
41,7214.79
42,5382.78
43,6142.23
44,579.58
45,99.93
46,7454.62
47,109.92
48,2558.15
49,5099.65
50,2015.21
51,5056.35
52,3394.22
53,2604.79
54,113.25
55,116.58
56,4726.59
57,3264.31
58,3913.84
59,1349.03
60,86.60
61,7181.48
62,103.26
63,2864.60
64,406.37
65,4216.95
66,8423.92
67,4679.95
68,5722.53
69,4063.73
70,7497.92
71,4137.01
72,10116.03
73,5825.79
74,2851.27
75,6398.71
76,6705.16
77,313.11
78,96.60
79,73.28
80,333.09
81,96.60
82,99.93
83,3211.01
84,2101.82
85,89.94
86,116.58
87,93.27
88,3743.96
89,3327.60
90,6741.80
91,349.75
92,103.26
93,5129.63
94,4789.87
95,6442.01
96,7414.64
97,133.24
98,1965.25
99,89.94
100,5635.93
101,3051.13
102,6888.36
103,106.59
104,6651.86
105,6678.51
106,4087.05
107,4929.77
108,3627.38
109,5076.33
110,7900.96
111,2997.83
112,7311.39
113,96.60
114,4620.00
115,83.27
116,69.95
117,5279.52
118,616.22
119,73.28
120,4340.20
121,109.92
122,83.27
123,6545.27
124,10472.44
125,86.60
126,73.28
127,7178.15
128,2464.89
129,86.60
130,1645.48
131,4196.97
132,8150.78
133,109.92
134,626.21
135,5579.30
136,4163.66
137,313.11
138,4759.90
139,6771.78
140,1991.89
141,216.51
142,79.94
143,809.42
144,6748.46
145,2807.97
146,2091.82
147,209.85
148,2478.21
149,2081.83
150,326.43
151,3384.22
152,4836.51
153,2444.90
154,99.93
155,73.28
156,2711.38
157,5526.01
158,3753.96
159,269.81
160,3773.94
161,4210.29
162,3957.14
163,3860.55
164,333.09
165,4733.25
166,1725.42
167,86.60
168,93.27
169,279.80
170,73.28
171,3354.24
172,5992.34
173,1768.72
174,96.60
175,3743.96
176,5872.43
177,3394.22
178,89.94
179,4433.46
180,6808.42
181,616.22
182,6015.66
183,7131.52
184,1981.90
185,6918.34
186,5182.92
187,89.94
188,5202.91
189,6065.62
190,4623.33
191,4313.55
192,3807.25
193,7148.17
194,93.27
195,73.28
196,286.46
197,3274.30
198,10352.52
199,3064.45
200,5999.00
201,9936.16
202,93.27
203,5369.46
204,416.37
205,93.27
206,2238.38
207,109.92
208,243.16
209,3347.58
210,6751.79
211,5635.93
212,4566.70
213,4443.46
214,4080.39
215,3767.28
216,3151.06
217,4703.27
218,76.61
219,5003.05
220,7894.30
221,3767.28
222,4373.51
223,3544.11
224,109.92
225,69.95
226,3504.14
227,99.93
228,5232.89
229,3827.24
230,2714.71
231,6578.58
232,6885.03
233,3067.78
234,93.27
235,5029.70
236,4523.40
237,96.60
238,1259.09
239,4779.88
240,7201.47
241,4436.80
242,96.60
243,436.35
244,4753.23
245,4626.66
246,4137.01
247,5276.19
248,5919.06
249,6432.02
250,89.94
251,2668.07
252,83.27
253,5432.74
254,3380.89
255,2611.45
256,23799.48
257,816.08
258,8986.84
259,4170.32
260,79.94
261,4716.59
262,10928.77
263,4120.36
264,7844.33
265,96.60
266,10215.95
267,2651.42
268,5615.94
269,959.31
270,7967.58
271,626.21
272,2724.70
273,3657.36
274,985.95
275,129.91
276,56.63
277,76.61
278,3534.11
279,7154.83
280,116.58
281,2351.63
282,239.83
283,3694.00
284,83.27
285,6288.79
286,86.60
287,4799.87
288,83.27
289,2481.54
290,4220.29
291,5912.40
292,93.27
293,4556.71
294,5382.78
295,2758.01
296,86.60
297,6028.98
298,3550.77
299,4819.85
300,5026.37
301,79.94
302,69.95
303,263.14
304,7168.16
305,4923.11
306,4256.93
307,106.59
308,83.27
309,1712.10
310,2138.46
311,3570.75
312,76.61
313,89.94
314,5352.80
315,5412.76
316,5536.00
317,4220.29
318,3554.10
319,849.39
320,316.44
321,113.25
322,3800.59
323,3404.21
324,3690.67
325,2971.19
326,5859.10
327,106.59
328,3993.78
329,89.94
330,2245.05
331,6182.20
332,219.84
333,512.96
334,4253.59
335,5665.91
336,549.60
337,8170.77
338,4353.52
339,4050.41
340,5709.21
341,4410.15
342,6545.27
343,3770.61
344,3290.96
345,73.28
346,5136.29
347,3667.35
348,516.29
349,2867.93
350,5226.23
351,542.94
352,4310.22
353,3440.85
354,2997.83
355,3760.62
356,5532.67
357,106.59
358,83.27
359,7427.97
360,79.94
361,4306.89
362,99.93
363,86.60
364,882.70
365,7681.12
366,11375.12
367,6661.86
368,9269.97
369,7847.67
370,11738.19
371,5875.76
372,6182.20
373,89.94
374,86.60
375,5912.40
376,2857.94
377,4573.36
378,106.59
379,296.45
380,5815.80
381,6871.70
382,6232.17
383,2364.96
384,4070.39
385,113.25
386,86.60
387,4603.34
388,76.61
389,8580.47
390,2501.53
391,4403.49
392,4919.78
393,439.68
394,5169.60
395,109.92
396,319.77
397,83.27
398,10985.40
399,8670.40
